Date-Time,Température à 500hPa (K),Température à 1000hPa (K)
2022-08-12 04:00:00,259.8780733771274,295.35738236532364
2022-08-12 05:00:00,259.8150620613531,295.126340874151
2022-08-12 06:00:00,259.5341366118591,294.8401644816758
2022-08-12 07:00:00,259.24402201214804,295.6291186646005
2022-08-12 08:00:00,259.5144455756796,296.6202341523013
2022-08-12 09:00:00,259.96733940780774,297.6166005829832
2022-08-12 10:00:00,259.32803709984717,298.60377786344804
2022-08-12 11:00:00,260.25089032879237,298.6129670136652
2022-08-12 12:00:00,259.6837884868232,298.0629307363849
2022-08-12 13:00:00,259.6969158442762,297.09281902060894
2022-08-12 14:00:00,259.77174178175824,297.817449152014
2022-08-12 15:00:00,259.50656916120784,298.69041842263783
2022-08-12 16:00:00,259.05236259333435,299.002849530019
2022-08-12 17:00:00,258.9932894847959,297.91721706865667
2022-08-12 18:00:00,259.2742149342899,297.1203864712602
2022-08-12 19:00:00,259.5105073684437,296.8854067728517
2022-08-12 20:00:00,259.4264922807446,296.29467568746713
2022-08-12 21:00:00,258.875143267719,295.1329045528775
2022-08-12 22:00:00,259.48425265353774,292.5389387201667
2022-08-12 23:00:00,258.5141409377618,292.3499047728436
2022-08-13 00:00:00,259.04054797162667,292.33152647240945
2022-08-13 01:00:00,258.7661862008592,292.14643073232224
2022-08-13 02:00:00,258.3539871768353,292.0059680075753
2022-08-13 03:00:00,259.06155174355143,291.8851963190078
2022-08-13 04:00:00,259.29259323472405,291.80643217428985
2022-08-13 05:00:00,259.1048720231463,291.8024939670539
2022-08-13 06:00:00,258.8817069464455,291.65809303507103
2022-08-13 07:00:00,258.7123640353019,292.41422882436325
2022-08-13 08:00:00,258.8383866668506,293.75715749180415
2022-08-13 09:00:00,258.8698923247378,294.8703574038177
2022-08-13 10:00:00,259.7454870668522,295.3140620857288
2022-08-13 11:00:00,259.9515865788642,296.44957850541243
2022-08-13 12:00:00,260.8324322639598,296.89328318732345
2022-08-13 13:00:00,261.0910412057837,297.650731712361
2022-08-13 14:00:00,260.64733652387264,297.03899685505166
2022-08-13 15:00:00,260.42942239015304,295.661937058233
2022-08-13 16:00:00,259.9108917707599,295.1499701175664
2022-08-13 17:00:00,259.43830690245227,293.47754477805546
2022-08-13 18:00:00,259.1022465516557,292.77523115432047
2022-08-13 19:00:00,258.4813225441293,292.31446090772056
2022-08-13 20:00:00,258.2108989805977,292.0702920590949
2022-08-13 21:00:00,258.1163820069362,291.2183265603959
2022-08-13 22:00:00,258.50232631605405,291.0660492139412
2022-08-13 23:00:00,258.1557640792951,290.7982511219002
2022-08-14 00:00:00,257.62016789521317,290.7772473499754
2022-08-14 01:00:00,258.8908960966626,290.57902425243526
2022-08-14 02:00:00,258.1019419137379,290.6065917030865
2022-08-14 03:00:00,258.4380022645344,290.57639878094466
2022-08-14 04:00:00,258.79244091576516,290.61578085330365
2022-08-14 05:00:00,259.49212906800955,290.7706836712489
2022-08-14 06:00:00,260.3230907947838,290.97547044751553
2022-08-14 07:00:00,260.77598462691196,291.2524576897736
2022-08-14 08:00:00,261.4691091004298,291.5885180405702
2022-08-14 09:00:00,262.11103687988106,291.9547713135086
2022-08-14 10:00:00,262.34601657828955,291.9836514999052
2022-08-14 11:00:00,262.60593825585875,293.7532192845683
2022-08-14 12:00:00,263.0955886888553,294.64062864839036
2022-08-14 13:00:00,262.97219152879717,295.0908970090279
2022-08-14 14:00:00,262.62694202778357,295.45846301771167
2022-08-14 15:00:00,262.5074830749613,295.71313375229965
2022-08-14 16:00:00,262.3013835629494,296.2067223925321
2022-08-14 17:00:00,262.48779203878183,296.28286106575945
2022-08-14 18:00:00,262.88161276237156,296.1949077708244
2022-08-14 19:00:00,263.03126463733565,295.98355731583126
2022-08-14 20:00:00,263.0824613314023,295.71313375229965
2022-08-14 21:00:00,263.1848547195356,295.43352103855096
2022-08-14 22:00:00,262.93018398494763,293.7361537198794
2022-08-14 23:00:00,263.03126463733565,293.54843250830163
